"Id","AB_Thorn","AB_W_Thorn","Nar","Cal","cal_riosu_zr","Na_un_cusal","Na_un_cusba","srtm","slope","intDrain","extDrain","effDepth","trmm_0","trmm_1","trmm_2","trmm_3","tempAvg_0","tempRang_0","PrecAcc_0","tempAvg_1","tempRang_1","PrecAcc_1","tempAvg_2","tempRang_2","PrecAcc_2","tempAvg_3","tempRang_3","PrecAcc_3","Yield","Yield_2","Region"
11,0,1,0,0,0,0,1,2331,2,2,2,75,4.490317233,4.691298067,2.901512867,1.3218506,15.1,7.5,279,15.3,7.4,338,154,81,246,157,82,202,0.00267,0.491368708550319,"Caldas"
12,0,1,0,0,0,0,1,2331,2,2,2,75,2.473164767,1.554052767,1.1462866,3.789316867,15.4,8.1,246,15.7,8.2,202,158,84,178,157,76,208,0.00289,-2.64720483740825,"Caldas"
13,0,1,0,0,0,0,1,2331,2,2,2,75,2.915040567,1.2986223,1.268334367,3.456328267,15.4,8.1,246,15.7,8.2,202,158,84,178,157,76,208,0.00289,-1.56719659135459,"Caldas"
14,1,1,0,0,0,0,1,2349,32,2,3,70,1.4904492,1.006705167,3.559744267,4.7913762,15.3,8.1,200,15.5,8.4,180,155,76,210,155,72,321,0.00294,-1.28596338175799,"Caldas"
15,1,1,0,0,0,0,1,2349,32,2,3,70,1.4504941,1.279280867,3.553902267,3.436973633,15.3,8.1,200,15.5,8.4,180,155,76,210,155,72,321,0.00294,-0.362599449546103,"Caldas"
16,0,1,0,0,0,0,1,2331,2,2,2,75,2.7909908,2.080983197,5.3748122,3.8231898,15.4,8.1,129,15.2,7.7,179,151,75,279,153,74,338,0.00311,-1.29897556651885,"Caldas"
17,1,1,0,0,0,0,1,2349,32,2,3,70,3.766939667,5.1590607,3.039027833,3.319416237,15.5,7.6,210,15.5,7.2,321,151,74,286,157,79,222,0.00323,0.622782753097102,"Caldas"
18,0,1,0,0,0,0,1,2331,2,2,2,75,3.341887267,5.762997433,3.188047567,1.4425326,15.2,7.7,179,15.1,7.5,279,153,74,338,154,81,246,0.00333,0.148766327487765,"Caldas"
19,0,1,0,0,0,0,1,2331,2,2,2,75,2.05965613,3.012508667,5.817395433,2.8541115,15.4,8.1,129,15.2,7.7,179,151,75,279,153,74,338,0.00333,0.832897100972369,"Caldas"
20,1,1,0,0,0,0,1,2399,50,2,2,75,2.6905669,0.8490655,2.583795667,7.064728767,14.6,8,144,14,7.9,121,140,75,153,140,72,270,0.00333,1.36253399362341,"Caldas"
21,1,1,0,0,0,0,1,2399,50,2,2,75,2.7578684,1.282327,5.8828667,8.063703833,14,7.9,121,14,7.5,153,140,72,270,142,70,309,0.00333,1.01204735492055,"Caldas"
22,1,1,0,0,0,0,1,2399,50,2,2,75,0.6068297,2.6164688,1.3167326,4.311898933,14.7,7.7,205,14.6,8,144,140,79,121,140,75,153,0.00333,0.00915470523787661,"Caldas"
23,1,1,0,0,0,0,1,2399,50,2,2,75,2.6039221,1.2558209,4.385357333,8.862771,14.6,8,144,14,7.9,121,140,75,153,140,72,270,0.00333,-0.233705672514229,"Caldas"
24,1,1,0,0,0,0,1,2349,32,2,3,70,1.594145567,3.539792667,3.266171933,4.096487167,15.5,8.4,180,15.5,7.6,210,155,72,321,151,74,286,0.00353,1.17166029808985,"Caldas"
25,1,1,0,0,0,0,1,2349,32,2,3,70,1.490694767,1.018937,4.036146067,4.423865,15.3,8.1,200,15.5,8.4,180,155,76,210,155,72,321,0.00353,-0.18215451784937,"Caldas"
26,1,1,0,0,0,0,1,2349,32,2,3,70,5.083606533,3.991674767,2.857289267,1.4100636,15,7.4,283,15,7.4,342,152,81,245,153,81,200,0.00353,0.0370043665829214,"Caldas"
27,1,1,0,0,0,0,1,2349,32,2,3,70,3.761441533,4.484624367,3.403351537,3.3075418,15.5,7.6,210,15.5,7.2,321,151,74,286,157,79,222,0.00353,-1.00589284948582,"Caldas"
